0101225306,CÔNG TY TNHH TOTO VIỆT NAM,Sản xuất thiết bị vệ sinh,"LÔ F1, KCN THĂNG LONG, ĐÔNG ANH, HÀ NỘI",4254804824809,31/12/2021,Đang hoạt động
0101329672,Công ty TNHH HAL Việt Nam,Sản xuất công nghiệp,"Lô B19, Khu Công nghiệp Thăng Long, Đông Anh, Hà Nội",2242927867851,31/12/2021,Đang hoạt động
0101377820,Công ty TNHH Kyoei Việt Nam,"Sản xuất phụ tùng & linh kiện ô tô, xe máy","Lô 02-03 & Lô 83-84 KCN Nội Bài xã Quang Tiến, Sóc Sơn, Hà Nội",866764520099,31/12/2021,Đang hoạt động
0101380936,Công ty Cổ phần Mỹ nghệ Viễn Đông,Sản xuất & kinh doanh mỹ nghệ,"Số 9, ngách 10, ngõ 106 đường Hoàng Quốc Việt, Phường Nghĩa Đô,, Quận Cầu Giấy,, TP Hà Nội",587737211876,31/12/2021,Đang hoạt động
0101435247,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU MINH TÂM,Xuất nhập khẩu,"Số nhà 22, Ngõ 41 Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, TP. Hà Nội",835203563984,31/12/2021,Đang hoạt động
0101437981,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI P.P,Sản xuất & thương mại,"Số 99 phố Test Giả Lập, Phường Đồng Bộ, Quận Hoàn Kiếm, Hà Nội",3588660524367,31/12/2021,Đang hoạt động
0101452549,Công Ty Cổ phần Sản xuất hàng thể thao,Sản xuất hàng thể thao,"Phòng 505-06, tầng 5, số 83B, phố Lý Thường Kiệt, Phường Trần Hưng Đạo, quậ, Hoàn Kiếm, Hà Nội",7132738085336,31/12/2021,Đang hoạt động
0101454070,Cong ty TNHH Che a Chau,Trồng chè & dịch vụ nông lâm nghiệp,"P1603, nha 17T3, Khu DTM Trung Hoa - Nhan Chinh, P. Trung Hoa, Cau Giay, Ha Noi",220106676044,31/12/2021,Đang hoạt động
0101598393,Công ty TNHH sản xuất phụ tùng Yamaha motor Việt Nam,Sản xuất phụ tùng xe máy,"Lô G1-G2, KCN Thăng Long, xã Võng La, Đông Anh, Hà Nội",1558754280956,31/12/2021,Đang hoạt động
0101601092,Công ty TNHH Phần mềm FPT,Phát triển phần mềm,"Tòa nhà FPT Cầu Giấy, phố Duy Tân, phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",2393803745114,31/12/2021,Đang hoạt động
0101639000,Công ty cổ phần dầu khí An Pha,Kinh doanh dầu khí,"Lô CN 03-07 cụm CN Ninh Hiệp, xã Ninh Hiệp, Gia Lâm, Hà Nội",1240074967818,31/12/2021,Đang hoạt động
0101770848,Công ty cổ phần sản xuất và xuất nhập khẩu bao bì Thăng Long,Sản xuất bao bì & xuất nhập khẩu,"Số 246, Nguyễn Khoái, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",468158108525,31/12/2021,Đang hoạt động
0102159423,CÔNG TY CP CÔNG NGHỆ VÀ THƯƠNG MẠI SYSTECH,Công nghệ & thương mại,"Số 119 Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, TP Hà Nội",378580541096,31/12/2021,Đang hoạt động
0102191498,Công Ty TNHH Babeeni Việt Nam,Sản xuất hàng dệt may / quần áo trẻ em,"Số 66 Phố Việt Hưng, P.Việt Hưng, Long Biên, Hà Nội",485533564712,31/12/2021,Đang hoạt động
0102264812,Công ty TNHH công nghệ công trình Sheng Huei,Công nghệ công trình / cơ điện,"Tầng 8, tòa nhà Hapulico, số 1 Nguyễn Huy Tưởng, P. nhân chính, Thanh Xuân, Hà Nội",830555780828,31/12/2021,Đang hoạt động
0102311149,Cong ty Co phan kinh doanh LPG Viet Nam,Kinh doanh khí hóa lỏng LPG,"Tang 11, Toa nha Vien Dau Khi, 167 Trung kinh, Yen Hoa, Cau Giay, Ha Noi, Cau Giay, Ha Noi",4079425418438,31/12/2021,Đang hoạt động
0102331787,Công ty Cổ Phần May Mặc QTNP,Sản xuất hàng may mặc,"Ô số 18, lô 8, khu tái định cư, phường Long Biên, Long Biên, Hà Nội",424228472463,31/12/2021,Đang hoạt động
0102625829,CÔNG TY TNHH VINACOMPOUND,Sản xuất hợp chất polyme,"34B hẻm 6/12/5 Đội Nhân, phường Vĩnh Phúc, Ba Đình, Hà Nội",1366281236829,31/12/2021,Đang hoạt động
0102712091,Công ty Cổ phần Đầu Tư và Xây Dựng VINACO,Đầu tư & xây dựng,"Lô A2-26, tổ 3, cụm Sòi, phường Nhân Chính, Thanh Xuân, Hà Nội",1088945440000,31/12/2021,Đang hoạt động
0103240765,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ XUẤT NHẬP KHẨU LONG ĐẠT,Sản xuất & xuất nhập khẩu,"SỐ 6, NGÕ 59 ĐƯỜNG HỒ TÙNG MẬU. PHƯỜNG MAI DỊCH, CẦU GIẤY, HÀ NỘI",696441939806,31/12/2021,Đang hoạt động
0103711478,Công ty cổ phần xây dựng Hợp Lực,Xây dựng,"B8, Lô BT04, Khu đô thị mới Việt Hưng, Đường Nguyễn Cao Luyện, Phường Giang Biên, Quận Long Biên, TP Hà Nội",4416824916083,31/12/2021,Đang hoạt động
0103769372,Công ty TNHH xuất nhập khẩu Thanh Hùng,Xuất nhập khẩu,"K06-4T1-CT15 Khu đô thị Việt Hưng, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội",551349097561,31/12/2021,Đang hoạt động
0104141407,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ CÔNG NGHỆ VIỆT NHẬT,Đầu tư xây dựng & công nghệ,"Số 43 Ngõ 260 Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",215740210865,31/12/2021,Đang hoạt động
0104220419,Công ty TNHH Xuất Nhập Khẩu & Thương Mại Hải Linh,Xuất nhập khẩu & thương mại,"274 Hà Huy Tập - TT Yên Viên, Gia Lâm, Hà Nội",484336693302,31/12/2021,Đang hoạt động
0104380966,Công ty TNHH CMS Vina,Sản xuất & thương mại,"Lô 10A, KCN Quang Minh, Thị trấn Quang Minh, Mê Linh, Hà Nội",954267366808,31/12/2021,Đang hoạt động
0104630172,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ PHƯƠNG LINH,Thương mại quốc tế,"SỐ 173 THANH NHÀN, PHƯỜNG QUỲNH LÔI, QUẬN HAI BÀ TRƯNG, TP. HÀ NỘI",570579630866,31/12/2021,Đang hoạt động
0104976614,CÔNG TY CỔ PHẦN TẬP ĐOÀN INVESTCORP,Đầu tư tài chính,"Tòa nhà INVESTCORP, Lô A15 -16, Khu Đấu giá quyền sử dụng đất Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",494205167532,31/12/2021,Đang hoạt động
0105189320,Công ty cổ phần TVL,Sản xuất thép không gỉ & bất động sản,"Số 14B ngõ 6 Vạn Phúc, phường Kim Mã, Ba Đình, Hà Nội",1632212762920,31/12/2021,Đang hoạt động
0105294741,Công ty TNHH phát triển xây dựng Việt Nam Kiến Hưng,Xây dựng & phát triển bất động sản,"Tòa nhà Golden Palace K1, Đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",3091602023791,31/12/2021,Đang hoạt động
0105327316,Công ty Cổ Phần Đầu Tư A&B Việt Nam,Đầu tư & thương mại,"Số 45 phố Nguyễn Sơn phường Ngọc Lâm, Long Biên, Hà Nội",411445826760,31/12/2021,Đang hoạt động
0105492983,CÔNG TY TNHH KẺ GỖ,Sản xuất & kinh doanh gỗ,"Số 415 Hoàng Tăng Bí, Phường Đức Thắng, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam, Quận Bắc Từ Liêm, Thành phố Hà Nội",323836731333,31/12/2021,Đang hoạt động
0105853894,CÔNG TY TNHH CƠ ĐIỆN VÀ XÂY DƯNG QUỐC TẾ HOA NAM,Cơ điện & xây dựng,"Căn hộ liền kề 29, C37 Bộ Công An, KĐT mới Phùng Khoang, số 17 đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Thành Phố Hà Nội",109509837003,31/12/2021,Đang hoạt động
0105908818,Công ty cổ phần kinh doanh gạch ốp lát Viglacera,Kinh doanh vật liệu xây dựng / gạch ốp lát,"Tầng 2, tòa nhà Viglacera, Số 1 Đại Lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",2759907910326,31/12/2021,Đang hoạt động
0106112810,Công ty TNHH iMarket Việt Nam,Thương mại điện tử / phân phối vật tư,"Tầng 12, tòa nhà Charmvit Tower, số 117 đường Trần Duy Hưng, P.Trung Hòa, Cầu Giấy, Hà Nội",2450923032915,31/12/2021,Đang hoạt động
0106116043,Tổng công ty Vận tải thủy Petrolimex,Vận tải đường thủy / xăng dầu,"Số 1 Khâm Thiên, Đống Đa, Hà Nội",1538175184153,31/12/2021,Đang hoạt động
0106187171,Công ty TNHH Xuất nhập khẩu và Dịch vụ Thương mại Viết Nam,Xuất nhập khẩu & dịch vụ thương mại,"B32-TT17 Khu ĐTM Văn Quán, P.Phúc La, Hà Đông, Hà Nội",1066323841344,31/12/2021,Đang hoạt động
0106255939,CÔNG TY TNHH SAMSUNG ENGINEERING VIETNAM,Kỹ thuật & xây dựng công nghiệp,"P1909B, tầng 19 keangnam Hanoi Landmark tower, Khu E6, KĐT Cầu Giấy, P. Mễ Trì, Nam Từ Liêm, Hà Nội",370611247587,31/12/2021,Đang hoạt động
0106300187,Công ty Cổ phần thiết kế và xây dựng Giza Việt Nam,Thiết kế & xây dựng,"Tầng 4 Tòa nhà N01-T5 Khu đoàn ngoại giao, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",806667497231,31/12/2021,Đang hoạt động
0106395904,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VIỆT AN KHANG,Xuất nhập khẩu,"P606, Tháp A1, Indochina Plaza HN, 239 Xuân Thủy, P.Dịch Vọng Hậu, Q.Cầu Giấy, TP Hà Nội, Cầu Giấy, Hà Nội",431920722238,31/12/2021,Đang hoạt động
0106399994,Công ty cổ phần Sunlink,Thương mại & dịch vụ,"Số 21, ngách 25, ngõ 358 Bùi Xương trạch, P.Khương Đình,, Thanh Xuân, Hà Nội",1054238715647,31/12/2021,Đang hoạt động
0106467242,Công ty TNHH Keyence Việt Nam,Kinh doanh thiết bị tự động hóa công nghiệp,"Tầng 19, Tháp 1, tòa nhà Capital Place, Số 29 Đường Liễu Giai,P. Ngọc Khánh, Quận Ba Đình, Hà Nội",801951828845,31/12/2021,Đang hoạt động
0106682049,Công ty TNHH IPADSHOP Việt Nam,Kinh doanh thiết bị điện tử / Apple,"Số 3, Ngõ 178, phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Thành Phố Hà Nội, Đống Đa, Hà Nội",2792821394348,31/12/2021,Đang hoạt động
0106980045,Công ty TNHH Một Thành Viên Sơn Hà SSP Việt Nam,Sản xuất & kinh doanh thép / bồn nước,"Lô CN1, Cụm CN Từ Liêm, P.Minh Khai, Bắc Từ Liêm, Hà Nội",2947558928163,31/12/2021,Đang hoạt động
